"posts";"forum_id";"thread_id";"title";"url"
122;193157;1786504460;"The woman who wrote Liberty Valance";"http://www.cnn.com/2013/09/22/opinion/greene-dorothy-johnson-liberty-valance/index.html"
3631;193157;1774730273;"House GOP: defund Obamacare or shut government down";"http://www.cnn.com/2013/09/18/politics/obamacare-government-shutdown/index.html"
11246;193157;1772999159;"Russia slams U.N. chemical weapons report, suggests Syrian rebels to blame";"http://www.cnn.com/2013/09/18/world/meast/syria-civil-war/index.html"
116;193157;1766012726;"What we learned from Vermont's epic flood";"http://www.cnn.com/2013/09/16/opinion/markowitz-colorado-floods-vermont-irene/index.html"
4398;193157;1785865796;"Blast at Pakistan church kills at least 25";"http://www.cnn.com/2013/09/22/world/asia/pakistan-attack/index.html"
7638;193157;1779564793;"Chicago Police: multiple people shot";"http://www.cnn.com/2013/09/20/justice/chicago-shooting/index.html"
982;193157;1755240515;"The laser light that could cut cyclist deaths";"http://www.cnn.com/2013/09/13/tech/the-laser-light-that-could-cyclist/index.html"
171;193157;1774759682;"The year that changed the world";"http://www.cnn.com/2013/09/18/opinion/amar-constitution-birthday/index.html"
2740;193157;1773656632;"Oklahoma deputies pull bodies from lake; may date to 1969, 1970 disappearances";"http://www.cnn.com/2013/09/18/us/oklahoma-lake-car-bodies/index.html"
121;193157;1766430240;"Bob Newhart wins first Emmy for 'Big Bang Theory'";"http://www.cnn.com/2013/09/16/showbiz/tv/bob-newhart-first-emmy/index.html"
905;193157;1752460321;"Is America really exceptional?";"http://www.cnn.com/2013/09/12/us/american-exceptionalism-series/index.html"
430;193157;1787221250;"Angela Merkel makes gains, history in German elections";"http://www.cnn.com/2013/09/22/world/europe/germany-elections/index.html"
222;193157;1774415052;"11 things to know before visiting Spain";"http://www.cnn.com/2013/09/18/travel/spain-travel-bourdain/index.html"
172;193157;1758575210;"No truce: Army, Islamic militants fight on in Philippines";"http://www.cnn.com/2013/09/14/world/asia/philippines-muslim-rebels-standoff/index.html"
6929;193157;1781978363;"House GOP already planning for next Obamacare fight ";"http://www.cnn.com/2013/09/20/politics/debt-ceiling-republicans/index.html"
117;193157;1750124228;"Analysis: Is Obama a winner or loser on Syria?";"http://www.cnn.com/2013/09/11/politics/obama-winner-loser-syria/index.html"
176;193157;1777846739;"Mexico storms: Worst over for some, coming for others";"http://www.cnn.com/2013/09/19/world/americas/mexico-severe-weather/index.html"
1829;193157;1756079919;"Rape sentence reverberates across India";"http://www.cnn.com/2013/09/13/world/asia/india-rape-judgment/index.html"
104;193157;1764609500;"International adoption: Saving orphans or child trafficking?";"http://www.cnn.com/2013/09/16/world/international-adoption-saving-orphans-child-trafficking/index.html"
423;193157;1778114832;"5-month-old baby killed by airport baggage carousel in Spain";"http://www.cnn.com/2013/09/19/world/europe/spain-baby-death/index.html"
169;193157;1772947505;"Meet the world's best new skyscraper ";"http://www.cnn.com/2013/09/18/travel/2012-best-new-skyscraper/index.html"
166;193157;1709583646;"'Are the kids going to tease me today?': Sending my rainbow child back to school";"http://www.cnn.com/2013/09/04/living/parents-lori-duron-gender-creative-son/index.html"
